
saxpy; ; ; ; ;dotprod; ; ; ; ;red(+); ; ; ; ;
no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);
50;2087.200000;705.894865;100.000000;0.789062;50;1258.300000;149.032916;98.000000;0.398438;50;1266.900000;101.177517;49.000000;0.390625;
100;2317.700000;172.788917;200.000000;1.570312;100;1767.300000;84.752640;198.000000;0.789062;100;1779.700000;36.055651;99.000000;0.781250;
150;2827.100000;100.324922;300.000000;2.351562;150;2344.000000;101.308440;298.000000;1.179688;150;2344.300000;28.117788;149.000000;1.171875;
200;3379.500000;139.773567;400.000000;3.132812;200;2874.900000;70.923127;398.000000;1.570312;200;2972.400000;99.252406;199.000000;1.562500;
250;1355.200000;1281.476320;500.000000;3.914062;250;1189.100000;1111.213071;498.000000;1.960938;250;1225.100000;1123.887846;249.000000;1.953125;
300;831.700000;37.475459;600.000000;4.695312;300;753.400000;33.383229;598.000000;2.351562;300;755.400000;15.583324;299.000000;2.343750;
350;3194.800000;6704.552838;700.000000;5.476562;350;893.000000;101.948026;698.000000;2.742188;350;894.800000;113.585915;349.000000;2.734375;
400;1030.400000;52.596958;800.000000;6.257812;400;942.100000;21.860695;798.000000;3.132812;400;951.900000;15.725457;399.000000;3.125000;
450;1143.400000;41.959981;900.000000;7.039062;450;1037.400000;15.402597;898.000000;3.523438;450;1046.800000;2.481935;449.000000;3.515625;
500;1206.300000;36.141527;1000.000000;7.820312;500;1144.900000;31.747283;998.000000;3.914062;500;1159.300000;15.824348;499.000000;3.906250;
550;1377.200000;86.084610;1100.000000;8.601562;550;1295.800000;47.368344;1098.000000;4.304688;550;2913.600000;4803.421743;549.000000;4.296875;
600;1726.800000;224.122645;1200.000000;9.382812;600;3208.500000;4837.069304;1198.000000;4.695312;600;1482.100000;89.273120;599.000000;4.687500;
650;1715.400000;86.636251;1300.000000;10.164062;650;1618.200000;104.586615;1298.000000;5.085938;650;1640.100000;74.647773;649.000000;5.078125;
700;1786.000000;59.241877;1400.000000;10.945312;700;1701.400000;21.680406;1398.000000;5.476562;700;1733.400000;48.400826;699.000000;5.468750;
750;2127.600000;292.401847;1500.000000;11.726562;750;1867.300000;141.381081;1498.000000;5.867188;750;1869.100000;73.813888;749.000000;5.859375;
800;2091.700000;163.798077;1600.000000;12.507812;800;1920.400000;15.717506;1598.000000;6.257812;800;1941.300000;21.424519;799.000000;6.250000;
850;2131.800000;94.867065;1700.000000;13.289062;850;2034.400000;15.324490;1698.000000;6.648438;850;2052.600000;17.223240;849.000000;6.640625;
900;2197.500000;64.055054;1800.000000;14.070312;900;2140.100000;2.947881;1798.000000;7.039062;900;2173.700000;20.707728;899.000000;7.031250;
950;2276.800000;54.512017;1900.000000;14.851562;950;2253.000000;2.569047;1898.000000;7.429688;950;2282.400000;22.637138;949.000000;7.421875;
1000;2385.900000;50.841814;2000.000000;15.632812;1000;2382.500000;23.559499;1998.000000;7.820312;1000;2389.100000;4.205948;999.000000;7.812500;
