
saxpy; ; ; ; ;dotprod; ; ; ; ;red(+); ; ; ; ;
no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);
100;2703.300000;605.779341;300.000000;0.789062;100;1907.200000;239.689299;297.000000;0.789062;100;1831.600000;99.801002;99.000000;0.781250;
200;3555.800000;304.152199;600.000000;1.570312;200;2891.700000;93.127923;597.000000;1.570312;200;2972.700000;97.561314;199.000000;1.562500;
300;3363.100000;1676.226980;900.000000;2.351562;300;3025.900000;1509.831742;897.000000;2.351562;300;3092.300000;1531.537727;299.000000;2.343750;
400;1058.500000;61.003688;1200.000000;3.132812;400;947.500000;27.412588;1197.000000;3.132812;400;2565.700000;4776.193674;399.000000;3.125000;
500;1218.800000;38.871069;1500.000000;3.914062;500;1139.700000;18.072355;1497.000000;3.914062;500;1162.500000;20.747289;499.000000;3.906250;
600;1409.400000;34.159040;1800.000000;4.695312;600;1344.900000;19.977237;1797.000000;4.695312;600;1392.500000;87.803474;599.000000;4.687500;
700;1642.300000;96.126011;2100.000000;5.476562;700;1570.500000;24.479583;2097.000000;5.476562;700;1600.500000;35.719043;699.000000;5.468750;
800;2084.400000;192.239538;2400.000000;6.257812;800;1837.700000;80.450047;2397.000000;6.257812;800;4120.900000;6720.440067;799.000000;6.250000;
900;2460.300000;408.391491;2700.000000;7.039062;900;2199.100000;134.806862;2697.000000;7.039062;900;2210.800000;81.033080;899.000000;7.031250;
1000;2451.400000;137.148970;3000.000000;7.820312;1000;2376.100000;4.908156;2997.000000;7.820312;1000;2408.000000;23.456342;999.000000;7.812500;
1100;2746.700000;154.392390;3300.000000;8.601562;1100;2636.100000;36.233824;3297.000000;8.601562;1100;2631.600000;36.423070;1099.000000;8.593750;
1200;2948.500000;162.661766;3600.000000;9.382812;1200;2838.900000;17.506856;3597.000000;9.382812;1200;2929.300000;212.715796;1199.000000;9.375000;
1300;3702.300000;590.945691;3900.000000;10.164062;1300;3421.200000;340.950378;3897.000000;10.164062;1300;3268.900000;186.856870;1299.000000;10.156250;
1400;3281.800000;77.602577;4200.000000;10.945312;1400;3283.200000;16.185178;4197.000000;10.945312;1400;3307.400000;18.943073;1399.000000;10.937500;
1500;3484.900000;76.782094;4500.000000;11.726562;1500;3506.600000;18.943073;4497.000000;11.726562;1500;3521.600000;4.630335;1499.000000;11.718750;
1600;3789.100000;186.545678;4800.000000;12.507812;1600;3746.400000;27.514360;4797.000000;12.507812;1600;3750.600000;4.923413;1599.000000;12.500000;
1700;4182.200000;545.824294;5100.000000;13.289062;1700;3984.100000;43.269966;5097.000000;13.289062;1700;4050.200000;168.192033;1699.000000;13.281250;
1800;4536.900000;674.677768;5400.000000;14.070312;1800;4369.900000;316.608102;5397.000000;14.070312;1800;4302.500000;155.339145;1799.000000;14.062500;
1900;4395.700000;63.472908;5700.000000;14.851562;1900;4423.600000;12.870120;5697.000000;14.851562;1900;4454.500000;32.955273;1899.000000;14.843750;
2000;4598.000000;70.233895;6000.000000;15.632812;2000;4647.400000;5.276362;5997.000000;15.632812;2000;4679.000000;20.009998;1999.000000;15.625000;
2100;4806.500000;51.782719;6300.000000;16.414062;2100;4892.800000;34.402907;6297.000000;16.414062;2100;4882.100000;3.672874;2099.000000;16.406250;
2200;5032.700000;87.716646;6600.000000;17.195312;2200;5112.600000;20.279053;6597.000000;17.195312;2200;5188.500000;214.308773;2199.000000;17.187500;
2300;4901.200000;265.152334;6900.000000;17.976562;2300;4997.800000;224.969242;6897.000000;17.976562;2300;5011.900000;226.380852;2299.000000;17.968750;
2400;5128.400000;556.720792;7200.000000;18.757812;2400;5189.000000;392.099222;7197.000000;18.757812;2400;5156.400000;253.827185;2399.000000;18.750000;
2500;5453.000000;594.312544;7500.000000;19.539062;2500;5401.700000;361.159258;7497.000000;19.539062;2500;5289.300000;208.374207;2499.000000;19.531250;
2600;5243.100000;66.843773;7800.000000;20.320312;2600;5358.800000;14.600000;7797.000000;20.320312;2600;5371.100000;20.368849;2599.000000;20.312500;
2700;7596.800000;6600.541869;8100.000000;21.101562;2700;7739.700000;6505.693815;8097.000000;21.101562;2700;7583.100000;5923.285734;2699.000000;21.093750;
2800;5809.100000;104.199280;8400.000000;21.882812;2800;5942.800000;72.170354;8397.000000;21.882812;2800;5931.200000;63.865170;2799.000000;21.875000;
2900;5812.800000;92.338291;8700.000000;22.664062;2900;6000.300000;63.469757;8697.000000;22.664062;2900;6014.200000;71.339750;2899.000000;22.656250;
