
dgemv; ; ; ; ;tdgemv; ; ; ; ;dger; ; ; ; ;
no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);
50;6939.600000;5690.806027;5150.000000;20.726562;50;44765.700000;46118.060007;5150.000000;40.257812;50;6772.600000;6120.224705;5050.000000;20.335938;
100;11550.600000;1136.644817;20300.000000;80.492188;100;46397.400000;3634.050858;20300.000000;158.617188;100;11498.100000;746.433179;20100.000000;79.710938;
150;25958.400000;7530.250941;45450.000000;179.320312;150;93657.000000;5171.822561;45450.000000;355.101562;150;24573.600000;2833.982929;45150.000000;178.148438;
200;29175.200000;7330.423518;80600.000000;317.210938;200;152039.100000;14631.821797;80600.000000;629.710938;200;36128.900000;6524.051769;80200.000000;315.648438;
250;30423.100000;113.663934;125750.000000;494.164062;250;196394.900000;14316.147152;125750.000000;982.445312;250;35049.100000;1536.855520;125250.000000;492.210938;
300;50370.400000;5929.330724;180900.000000;710.179688;300;292311.100000;14667.057568;180900.000000;1413.304688;300;50234.400000;680.303197;180300.000000;707.835938;
350;65042.200000;2791.241545;246050.000000;965.257812;350;405490.200000;27864.100580;246050.000000;1922.289062;350;69067.200000;12551.473713;245350.000000;962.523438;
400;142302.800000;12951.876403;321200.000000;1259.398438;400;539556.100000;25564.378664;321200.000000;2509.398438;400;87074.000000;1809.113098;320400.000000;1256.273438;
450;161828.100000;11258.465477;406350.000000;1592.601562;450;708665.400000;8505.920623;406350.000000;3174.632812;450;106138.600000;3061.430881;405450.000000;1589.085938;
500;185919.300000;316.638611;501500.000000;1964.867188;500;887183.600000;39185.982476;501500.000000;3917.992188;500;126702.400000;420.392483;500500.000000;1960.960938;
550;209428.000000;6046.678245;606650.000000;2376.195312;550;1081536.300000;4462.181956;606650.000000;4739.476562;550;152368.700000;2781.570314;605550.000000;2371.898438;
600;242287.000000;5004.181911;721800.000000;2826.585938;600;1283170.700000;5252.572209;721800.000000;5639.085938;600;180965.700000;1854.778210;720600.000000;2821.898438;
650;269202.900000;10829.413359;846950.000000;3316.039062;650;1512807.200000;27732.628616;846950.000000;6616.820312;650;218203.400000;12785.868451;845650.000000;3310.960938;
700;298238.500000;10252.971035;982100.000000;3844.554688;700;1759121.700000;9051.306282;982100.000000;7672.679688;700;248741.100000;2246.276049;980700.000000;3839.085938;
750;341034.500000;8943.305600;1127250.000000;4412.132812;750;1992112.900000;12303.273536;1127250.000000;8806.664062;750;284119.700000;4068.320883;1125750.000000;4406.273438;
800;376517.500000;10202.400377;1282400.000000;5018.773438;800;2321246.600000;34681.923860;1282400.000000;10018.773438;800;329598.800000;10259.133704;1280800.000000;5012.523438;
850;417579.500000;15654.969219;1447550.000000;5664.476562;850;2550197.300000;17357.716538;1447550.000000;11309.007812;850;373418.900000;3259.278370;1445850.000000;5657.835938;
900;458558.400000;4348.731222;1622700.000000;6349.242188;900;2826228.600000;18511.230160;1622700.000000;12677.367188;900;415459.100000;5665.166148;1620900.000000;6342.210938;
950;517044.400000;6544.798533;1807850.000000;7073.070312;950;3093630.900000;133576.398607;1807850.000000;14123.851562;950;479880.100000;11255.356924;1805950.000000;7065.648438;
1000;560661.600000;13575.797834;2003000.000000;7835.960938;1000;3456747.700000;29415.483141;2003000.000000;15648.460938;1000;527906.900000;7009.084255;2001000.000000;7828.148438;
