
dgemv; ; ; ; ;tdgemv; ; ; ; ;dger; ; ; ; ;
no.elts;M.N.O.T;T.std; nflop;size(kB);no.elts;M.N.O.T;T.std; nflop;size(kB);no.elts;M.N.O.T;T.std; nflop;size(kB);
100;29809.800000;21627.286828;20300.000000;80.492188;100;119946.400000;7502.732612;20300.000000;158.617188;100;22861.800000;4564.762728;20100.000000;79.710938;
200;63340.000000;10057.052411;80600.000000;317.210938;200;375507.800000;17279.377684;80600.000000;629.710938;200;77832.000000;11740.015707;80200.000000;315.648438;
300;110846.000000;310.950800;180900.000000;710.179688;300;765669.000000;34994.010542;180900.000000;1413.304688;300;127744.000000;1134.461282;180300.000000;707.835938;
400;209731.400000;2498.582806;321200.000000;1259.398438;400;1289783.800000;71081.326085;321200.000000;2509.398438;400;217205.800000;2023.070231;320400.000000;1256.273438;
500;484723.000000;4208.575080;501500.000000;1964.867188;500;2292167.400000;128491.206927;501500.000000;3917.992188;500;327515.200000;832.473039;500500.000000;1960.960938;
600;617736.400000;15479.366338;721800.000000;2826.585938;600;3286087.400000;150050.494840;721800.000000;5639.085938;600;467738.400000;1589.652994;720600.000000;2821.898438;
700;781267.800000;18264.217748;982100.000000;3844.554688;700;4519675.200000;138875.553841;982100.000000;7672.679688;700;641615.800000;3363.079833;980700.000000;3839.085938;
800;965402.000000;6301.031344;1282400.000000;5018.773438;800;6010407.600000;97380.653679;1282400.000000;10018.773438;800;850088.400000;6824.785523;1280800.000000;5012.523438;
900;1185912.800000;17809.000493;1622700.000000;6349.242188;900;7298910.400000;76690.961485;1622700.000000;12677.367188;900;1096848.200000;21484.471889;1620900.000000;6342.210938;
1000;1433939.600000;24931.843539;2003000.000000;7835.960938;1000;8993578.200000;100152.922176;2003000.000000;15648.460938;1000;1380510.200000;16793.661243;2001000.000000;7828.148438;
