
saxpy; ; ; ; ;dotprod; ; ; ; ;red(+); ; ; ; ;
no.elts;M.N.O.T;T.std; nflop;size(kB);no.elts;M.N.O.T;T.std; nflop;size(kB);no.elts;M.N.O.T;T.std; nflop;size(kB);
100;4356.400000;478.499154;300.000000;0.789062;100;3980.800000;164.766987;297.000000;0.789062;100;3447.200000;144.618671;99.000000;0.781250;
200;6444.400000;1591.361128;600.000000;1.570312;200;6596.400000;886.910052;597.000000;1.570312;200;6197.200000;278.424424;199.000000;1.562500;
300;8157.600000;335.257274;900.000000;2.351562;300;9001.200000;145.591758;897.000000;2.351562;300;9003.600000;84.483371;299.000000;2.343750;
400;11181.200000;2008.012789;1200.000000;3.132812;400;12005.200000;435.056042;1197.000000;3.132812;400;12006.400000;323.467216;399.000000;3.125000;
500;13071.600000;239.342098;1500.000000;3.914062;500;14786.800000;52.521995;1497.000000;3.914062;500;14809.600000;23.542302;499.000000;3.906250;
600;17740.400000;4080.589938;1800.000000;4.695312;600;18721.600000;1922.405327;1797.000000;4.695312;600;18351.600000;965.823089;599.000000;4.687500;
700;18329.200000;201.570236;2100.000000;5.476562;700;20625.200000;25.047156;2097.000000;5.476562;700;20626.000000;34.047026;699.000000;5.468750;
800;29262.800000;22409.979995;2400.000000;6.257812;800;23665.600000;135.813990;2397.000000;6.257812;800;23606.400000;79.703450;799.000000;6.250000;
900;23640.000000;447.914278;2700.000000;7.039062;900;26484.000000;45.607017;2697.000000;7.039062;900;26470.400000;31.097267;899.000000;7.031250;
1000;18793.400000;2668.977789;3000.000000;7.820312;1000;20645.800000;2906.002127;2997.000000;7.820312;1000;20630.800000;2938.038012;999.000000;7.812500;
1100;16267.400000;2370.546781;3300.000000;8.601562;1100;22935.600000;15158.672311;3297.000000;8.601562;1100;17804.000000;2462.055726;1099.000000;8.593750;
1200;18607.200000;4441.297396;3600.000000;9.382812;1200;18121.200000;2049.119069;3597.000000;9.382812;1200;17636.200000;1629.942195;1199.000000;9.375000;
1300;14188.400000;427.870822;3900.000000;10.164062;1300;15287.200000;51.007450;3897.000000;10.164062;1300;15261.400000;21.523011;1299.000000;10.156250;
1400;13334.600000;1230.617747;4200.000000;10.945312;1400;15063.000000;1371.996283;4197.000000;10.945312;1400;15057.600000;1369.765761;1399.000000;10.937500;
1500;12991.800000;106.137458;4500.000000;11.726562;1500;14681.200000;41.609614;4497.000000;11.726562;1500;14684.400000;27.361287;1499.000000;11.718750;
1600;12416.400000;912.485309;4800.000000;12.507812;1600;15553.200000;4289.639631;4797.000000;12.507812;1600;14092.400000;1015.541944;1599.000000;12.500000;
1700;13454.400000;2532.400569;5100.000000;13.289062;1700;14677.200000;1216.676194;5097.000000;13.289062;1700;14545.600000;610.892331;1699.000000;13.281250;
1800;12031.200000;645.547334;5400.000000;14.070312;1800;13585.000000;756.576103;5397.000000;14.070312;1800;36971.000000;70061.568851;1799.000000;14.062500;
1900;12391.000000;69.381554;5700.000000;14.851562;1900;13932.200000;17.051686;5697.000000;14.851562;1900;13935.200000;24.774180;1899.000000;14.843750;
2000;11925.000000;564.700452;6000.000000;15.632812;2000;13358.000000;646.694982;5997.000000;15.632812;2000;13370.000000;640.439849;1999.000000;15.625000;
2100;12154.800000;122.915255;6300.000000;16.414062;2100;13691.000000;32.939338;6297.000000;16.414062;2100;13688.600000;25.846470;2099.000000;16.406250;
2200;12403.400000;2153.247046;6600.000000;17.195312;2200;13555.600000;1085.815749;6597.000000;17.195312;2200;13326.400000;632.091006;2199.000000;17.187500;
2300;11880.800000;67.184522;6900.000000;17.976562;2300;13498.800000;18.137254;6897.000000;17.976562;2300;13497.200000;15.236798;2299.000000;17.968750;
2400;12430.600000;701.183029;7200.000000;18.757812;2400;13565.400000;268.679809;7197.000000;18.757812;2400;31228.800000;39263.601141;2399.000000;18.750000;
2500;12373.200000;56.343234;7500.000000;19.539062;2500;14474.600000;1060.149065;7497.000000;19.539062;2500;14188.200000;475.317536;2499.000000;19.531250;
2600;12770.400000;48.289129;7800.000000;20.320312;2600;14533.400000;25.124490;7797.000000;20.320312;2600;14513.400000;22.145880;2599.000000;20.312500;
2700;13547.400000;74.420696;8100.000000;21.101562;2700;15089.800000;24.420483;8097.000000;21.101562;2700;15076.800000;20.575714;2699.000000;21.093750;
2800;14696.200000;1080.280501;8400.000000;21.882812;2800;16112.400000;1332.162393;8397.000000;21.882812;2800;15791.000000;488.789730;2799.000000;21.875000;
2900;14546.000000;70.721991;8700.000000;22.664062;2900;16208.200000;19.888690;8697.000000;22.664062;2900;16189.800000;24.842705;2899.000000;22.656250;
3000;15238.800000;101.312191;9000.000000;23.445312;3000;16778.400000;22.974769;8997.000000;23.445312;3000;16755.000000;32.597546;2999.000000;23.437500;
3100;15299.800000;237.672800;9300.000000;24.226562;3100;18243.000000;2746.447342;9297.000000;24.226562;3100;17300.400000;21.369137;3099.000000;24.218750;
3200;15711.800000;85.456188;9600.000000;25.007812;3200;17923.200000;20.826906;9597.000000;25.007812;3200;17866.200000;34.576871;3199.000000;25.000000;
3300;16362.800000;238.477169;9900.000000;25.789062;3300;18952.800000;1287.847258;9897.000000;25.789062;3300;18571.600000;360.716842;3299.000000;25.781250;
3400;17214.800000;98.428451;10200.000000;26.570312;3400;19013.600000;23.026941;10197.000000;26.570312;3400;18985.000000;29.027573;3399.000000;26.562500;
3500;17213.600000;166.814388;10500.000000;27.351562;3500;19569.800000;65.820665;10497.000000;27.351562;3500;19535.800000;21.098815;3499.000000;27.343750;
