
saxpy; ; ; ; ;dotprod; ; ; ; ;red(+); ; ; ; ;
no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);
50;3268.800000;457.660529;100.000000;0.789062;50;1897.400000;352.077605;98.000000;0.398438;50;1697.900000;222.607480;49.000000;0.390625;
100;5746.800000;6850.282415;200.000000;1.570312;100;2563.600000;136.344564;198.000000;0.789062;100;2244.500000;142.069877;99.000000;0.781250;
150;3966.900000;245.661332;300.000000;2.351562;150;3896.200000;194.407202;298.000000;1.179688;150;2810.400000;54.891165;149.000000;1.171875;
200;3760.700000;1458.833373;400.000000;3.132812;200;3888.700000;1567.198906;398.000000;1.570312;200;3336.200000;1263.779079;199.000000;1.562500;
250;1037.500000;76.071348;500.000000;3.914062;250;1226.300000;43.522523;498.000000;1.960938;250;894.000000;60.390397;249.000000;1.953125;
300;1101.800000;80.337787;600.000000;4.695312;300;1151.600000;145.539136;598.000000;2.351562;300;971.300000;58.614077;299.000000;2.343750;
350;1113.200000;85.702742;700.000000;5.476562;350;1161.200000;72.839275;698.000000;2.742188;350;1135.200000;73.561947;349.000000;2.734375;
400;1200.700000;74.248300;800.000000;6.257812;400;2062.100000;928.627530;798.000000;3.132812;400;1236.500000;206.449146;399.000000;3.125000;
450;4038.200000;8161.820089;900.000000;7.039062;450;2185.200000;345.764891;898.000000;3.523438;450;1600.700000;138.569874;449.000000;3.515625;
500;1448.100000;45.961832;1000.000000;7.820312;500;1577.000000;68.439755;998.000000;3.914062;500;1610.900000;54.548052;499.000000;3.906250;
550;1520.900000;138.589646;1100.000000;8.601562;550;1722.800000;105.946024;1098.000000;4.304688;550;1720.700000;76.324374;549.000000;4.296875;
600;1488.700000;298.533767;1200.000000;9.382812;600;1825.400000;125.040154;1198.000000;4.695312;600;1711.900000;50.987155;599.000000;4.687500;
650;2507.400000;2481.084851;1300.000000;10.164062;650;1948.000000;88.426240;1298.000000;5.085938;650;2429.200000;1553.019562;649.000000;5.078125;
700;1550.100000;139.522364;1400.000000;10.945312;700;2831.000000;2600.302175;1398.000000;5.476562;700;2570.300000;1954.623445;699.000000;5.468750;
750;1962.100000;1335.192829;1500.000000;11.726562;750;2066.100000;57.301745;1498.000000;5.867188;750;1969.100000;50.504356;749.000000;5.859375;
800;1619.500000;78.972464;1600.000000;12.507812;800;2181.300000;109.668637;1598.000000;6.257812;800;2066.800000;34.847669;799.000000;6.250000;
850;1700.400000;75.320913;1700.000000;13.289062;850;2499.300000;70.366256;1698.000000;6.648438;850;2296.100000;70.937226;849.000000;6.640625;
900;1657.100000;118.348173;1800.000000;14.070312;900;2362.500000;66.859928;1798.000000;7.039062;900;2314.000000;42.263459;899.000000;7.031250;
950;1737.700000;97.536711;1900.000000;14.851562;950;2605.600000;58.903650;1898.000000;7.429688;950;2448.600000;64.468907;949.000000;7.421875;
1000;1758.500000;113.772800;2000.000000;15.632812;1000;2703.900000;53.023485;1998.000000;7.820312;1000;2577.600000;46.069947;999.000000;7.812500;
