
dgemv; ; ; ; ;tdgemv; ; ; ; ;dger; ; ; ; ;
no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);
50;12141.700000;16326.809260;5150.000000;20.726562;50;39044.100000;38832.026407;5150.000000;40.257812;50;9532.400000;9036.391007;5050.000000;20.335938;
100;15126.900000;6122.174801;20300.000000;80.492188;100;60524.600000;25092.157979;20300.000000;158.617188;100;16192.700000;7499.879333;20100.000000;79.710938;
150;23015.200000;6692.979363;45450.000000;179.320312;150;94865.100000;27705.829962;45450.000000;355.101562;150;24076.500000;1056.299981;45150.000000;178.148438;
200;36586.100000;2346.978545;80600.000000;317.210938;200;151297.500000;9727.901462;80600.000000;629.710938;200;43114.300000;7704.607726;80200.000000;315.648438;
250;55412.800000;1367.026540;125750.000000;494.164062;250;234656.000000;21781.481070;125750.000000;982.445312;250;66253.200000;11545.294286;125250.000000;492.210938;
300;82620.100000;1111.201372;180900.000000;710.179688;300;323549.400000;17197.683444;180900.000000;1413.304688;300;89659.200000;693.568281;180300.000000;707.835938;
350;109735.300000;3031.376818;246050.000000;965.257812;350;484197.900000;48641.128950;246050.000000;1922.289062;350;120945.900000;14726.388155;245350.000000;962.523438;
400;141129.600000;11079.148480;321200.000000;1259.398438;400;567084.900000;37673.877848;321200.000000;2509.398438;400;144367.500000;241.079759;320400.000000;1256.273438;
450;172910.400000;145.210330;406350.000000;1592.601562;450;703520.900000;39379.434824;406350.000000;3174.632812;450;184906.000000;10775.545601;405450.000000;1589.085938;
500;284084.500000;37280.102391;501500.000000;1964.867188;500;1127722.900000;54908.716034;501500.000000;3917.992188;500;230955.800000;463.723150;500500.000000;1960.960938;
550;318465.400000;10240.663291;606650.000000;2376.195312;550;1385400.100000;7708.717305;606650.000000;4739.476562;550;309932.400000;33191.331706;605550.000000;2371.898438;
600;400200.900000;61570.883358;721800.000000;2826.585938;600;1655606.100000;23007.307472;721800.000000;5639.085938;600;334214.900000;2914.636322;720600.000000;2821.898438;
650;433416.200000;13823.276831;846950.000000;3316.039062;650;1969948.900000;52264.113855;846950.000000;6616.820312;650;396163.700000;17944.950794;845650.000000;3310.960938;
700;501885.300000;38827.098661;982100.000000;3844.554688;700;2345604.200000;25688.733207;982100.000000;7672.679688;700;466617.000000;18804.237459;980700.000000;3839.085938;
750;553664.900000;11294.372868;1127250.000000;4412.132812;750;2658362.300000;38249.275651;1127250.000000;8806.664062;750;529476.700000;14292.827187;1125750.000000;4406.273438;
800;624251.600000;13908.021881;1282400.000000;5018.773438;800;3068221.300000;121775.028795;1282400.000000;10018.773438;800;611868.900000;25477.390253;1280800.000000;5012.523438;
850;711559.400000;14626.961579;1447550.000000;5664.476562;850;3457609.600000;70233.168056;1447550.000000;11309.007812;850;683433.600000;10631.019680;1445850.000000;5657.835938;
900;815535.600000;69964.782533;1622700.000000;6349.242188;900;3786669.700000;79827.062960;1622700.000000;12677.367188;900;778118.000000;21591.190092;1620900.000000;6342.210938;
950;898441.400000;32318.754553;1807850.000000;7073.070312;950;4229424.200000;87299.483582;1807850.000000;14123.851562;950;875825.400000;15852.901660;1805950.000000;7065.648438;
1000;971717.500000;16558.092325;2003000.000000;7835.960938;1000;4615212.400000;56142.579740;2003000.000000;15648.460938;1000;970245.200000;26435.626956;2001000.000000;7828.148438;
