
dgemm; ; ; ; ;dsyrk; ; ; ; ;
no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);
10;20347.600000;1031.319175;500.000000;3.164062;10;20447.400000;1588.761920;600.000000;2.382812;
20;66458.400000;55672.571484;2000.000000;12.539062;20;54069.000000;44987.733095;2400.000000;9.414062;
30;73687.100000;17874.956607;4500.000000;28.164062;30;67869.200000;471.051122;5400.000000;21.132812;
40;171499.900000;11002.022455;8000.000000;50.039062;40;175180.200000;18255.559426;9600.000000;37.539062;
50;324847.400000;32419.138419;12500.000000;78.164062;50;334880.600000;57706.048479;15000.000000;58.632812;
60;584246.500000;90751.357295;18000.000000;112.539062;60;527488.800000;25866.407345;21600.000000;84.414062;
70;846629.000000;57397.644844;24500.000000;153.164062;70;824071.000000;30070.554358;29400.000000;114.882812;
80;1291532.600000;23776.005111;32000.000000;200.039062;80;1283869.400000;17090.537342;38400.000000;150.039062;
90;1767686.900000;3056.473048;40500.000000;253.164062;90;1766273.200000;2873.527372;48600.000000;189.882812;
100;2432455.400000;57331.574158;50000.000000;312.539062;100;2592608.500000;305999.187963;60000.000000;234.414062;
