
cgs; ; ; ; ;
no.elts;M.N.O.T;T.std ; nflop;size(kB);
100;16722231;1861823;4040200;1920200;
200;113117771;1343887;32160400;7680400;
300;358953467;2155819;108360600;17280600;
400;826848296;1909155;256640800;30720800;
500;1585401558;4074564424;501001000;48001000;
600;2710012968;3593429710;865441200;69121200;
700;4281044750;1358219249;1373961400;94081400;
800;6352236603;4074572570;2050561600;122881600;
900;9095202545;3327101901;-1375725496;155521800;
1000;12641191020;2718047525;-290965296;192002000;
