
mgs; ; ; ; ;
no.elts;M.N.O.T;T.std ; nflop;size(kB);
100;16080818;1062194;4040200;1920200;
200;112450475;851672;32160400;7680400;
300;357794798;1755158;108360600;17280600;
400;823952733;3677052;256640800;30720800;
500;1579271402;4074564565;501001000;48001000;
600;2701743839;3593429403;865441200;69121200;
700;4268070127;1358240756;1373961400;94081400;
800;6362873311;4074744487;2050561600;122881600;
900;9226985815;2718530213;-1375725496;155521800;
1000;12655542733;2719674673;-290965296;192002000;
